synset_id,lang,goodness,lemma
00027268-v,B,O,memampangkan
00027268-v,B,O,memanjangkan
00027268-v,B,O,membabarkan
00027268-v,B,O,membentang
00027268-v,B,O,membidangkan
00027268-v,B,O,mementang
00027268-v,B,O,memperpanjang
00027268-v,B,O,menggeliat
00027268-v,B,O,merentangkan
00027268-v,B,O,terbujur
00027268-v,I,O,membarui
00027268-v,I,O,memperbarui
00027268-v,I,O,mengulurkan
00027384-r,B,O,bagaimana
00027384-r,B,O,cara
00027384-r,B,O,kiranya
00027384-r,B,O,masih
00027384-r,B,O,namun
00027384-r,B,O,tetap
00027384-r,B,O,walaupun
00027384-r,B,Y,sementara
00027705-v,B,O,bertahan
00027705-v,B,O,melebarkan
00027705-v,B,O,meluas
00027705-v,B,O,meluaskan
00027705-v,B,O,melunjurkan
00027705-v,B,O,memadamkan
00027705-v,B,O,memampangkan
00027705-v,B,O,memanjangkan
00027705-v,B,O,mematikan
00027705-v,B,O,membabarkan
00027705-v,B,O,membidangkan
00027705-v,B,O,mementang
00027705-v,B,O,memperbanyak
00027705-v,B,O,memperbesar
00027705-v,B,O,memperlebar
00027705-v,B,O,memperluas
00027705-v,B,O,memperpanjang
00027705-v,B,O,mengarihkan
00027705-v,B,O,mengembangkan
00027705-v,B,O,menyembulkan
00027705-v,B,O,merentangkan
00027705-v,B,O,terbentang
00027705-v,I,O,membarui
00027705-v,I,O,memperbarui
00027705-v,I,O,memproduksi
00027705-v,I,O,mengulurkan
00027795-r,B,O,masih
00027795-r,B,O,namun
00027807-n,B,O,bentuk
00027807-n,B,O,corak
00027807-n,I,O,berbentuk
00027918-r,B,O,masih
00027918-r,B,O,namun
00028167-v,B,O,terbentang
00028198-r,B,O,masih
00028198-r,B,O,namun
00028270-n,B,O,kala
00028270-n,B,O,ketika
00028270-n,B,O,masa
00028270-n,B,O,pukul
00028270-n,B,O,tempoh
00028270-n,B,O,waktu
00028270-n,B,O,zaman
00028362-v,B,O,menggiatkan
00028424-r,B,Y,bagaimana
00028565-v,B,O,mesem
00028565-v,B,Y,senyum
00028565-v,B,Y,tersenyum
00028578-r,B,O,kiranya
00028651-n,B,O,angkasa
00028651-n,B,O,ruang
00028651-n,B,O,tempat
00028797-r,B,Y,namun
00028984-a,B,O,rahsia
00029025-v,B,O,kernyih
00029025-v,B,O,mengernyih
00029025-v,B,O,tersengih
00029025-v,B,Y,gerenyot
00029025-v,B,Y,menyeringai
00029025-v,B,Y,meringis
00029025-v,B,Y,serengit
00029025-v,I,O,kerenyot
00029025-v,I,O,kumut
00029025-v,I,O,ringis
00029025-v,I,O,serengeh
00029037-r,B,O,juga
00029037-r,B,O,kecuali
00029037-r,B,O,pun
00029214-v,B,O,berseri
00029336-v,B,O,merayu
00029336-v,B,O,tersengih
00029367-r,B,O,bahkan
00029367-r,B,O,selanjutnya
00029367-r,B,Y,lagi
00029367-r,I,O,syahdan
00029378-n,B,O,kasus
00029378-n,B,O,kejadian
00029378-n,B,O,peristiwa
00029378-n,B,Y,acara
00029630-v,B,O,meringkik
00029677-n,B,O,cara
00029677-n,B,O,kaedah
00029677-n,B,O,proses
00029836-v,B,O,berdekah-dekah
00029836-v,B,O,menderu
00029836-v,B,O,menderu-deru
00029836-v,B,O,mengaum
00029836-v,B,O,mengaung
00029933-a,B,O,loba
00029933-a,B,O,rakus
00029933-a,B,O,tamak
00029985-r,B,Y,lanjut
00030142-v,B,O,mengekek
00030358-n,B,O,aksi
00030358-n,B,O,hasil
00030358-n,B,O,perbuatan
00030358-n,B,O,tindak
00030358-n,B,O,tindakan
00030358-n,B,Y,kelakuan
00030358-n,B,Y,perbuatan
00030358-n,B,Y,tindakan
00030366-v,B,O,memberai-beraikan
00030366-v,B,O,usai
00030508-a,B,O,cemburu
00030647-v,B,O,runtuh
00030647-v,B,O,sakit
00030647-v,B,O,tersepuk
00030647-v,I,O,membobolkan
00031138-a,B,O,gelojoh
00031138-a,B,O,lahap
00031138-a,B,O,rakus
00031138-a,B,O,serakah
00031138-a,B,O,tamak
00031264-n,B,O,blok
00031264-n,B,O,golongan
00031264-n,B,O,kumpulan
00031264-n,B,O,rombongan
00031264-n,B,Y,kelompok
00031264-n,B,Y,rombongan
00031304-r,B,O,masih
00031304-r,B,Y,tetap
00031606-r,B,O,lagi
00031798-r,B,O,pernah
00031798-r,B,O,sudah
00031798-r,B,O,telah
00031820-v,B,O,gelak
00031820-v,B,O,menggelakkan
00031820-v,B,Y,bergembira
00031820-v,B,Y,berjenaka
00031820-v,B,Y,kakah
00031820-v,B,Y,ketawa
00031820-v,B,Y,tertawa
00031899-r,B,O,sangat
00031899-r,B,Y,sungguh
00031921-n,B,O,hubungan
00031921-n,B,O,perhubungan
00031921-n,B,O,perpautan
00031921-n,B,O,pertalian
00031921-n,B,O,sangkutan
00031921-n,I,O,wasilah
00031974-a,B,O,lengkas
00031974-a,B,Y,aktif
00031974-a,B,Y,cergas
00031974-a,B,Y,cerkas
00031974-a,B,Y,giat
00031974-a,B,Y,langkas
00031974-a,B,Y,rancak
00032299-r,B,O,betul-betul
00032299-r,B,O,terus
00032497-a,B,O,akrobatik
00032539-v,B,O,menyeringai
00032613-n,B,O,kepunyaan
00032613-n,B,O,milik
00032613-n,B,O,pemilikan
00032733-a,B,O,cekap
00032733-a,B,O,cepat
00032733-a,B,O,giat
00032733-a,B,Y,gancang
00032733-a,B,Y,gesit
00032733-a,B,Y,lajak
00032733-a,B,Y,lincah
00032733-a,B,Y,pantas
00032733-a,B,Y,tangkas
00032778-v,B,O,menyeringai
00032778-v,I,O,meledek
00032863-r,B,O,selanjutnya
00032863-r,B,O,seterusnya
00032981-v,B,O,melorotkan
00032981-v,B,Y,kernyit
00032981-v,B,Y,mengernyitkan
00033020-n,B,O,hubungan
00033020-n,B,O,surat
00033020-n,B,Y,komunikasi
00033203-v,B,O,mencorong
00033203-v,B,O,menjegil
