username,text
permenkaki500,"['tolong', 'sampaikan', 'kepada', 'karyawan', 'yg', 'bernama', 'imam', 'chanafi', 'untuk', 'membayar', 'hutang', 'nya']"
albaniraditya.ss,"['pak', 'masak', 'belum', 'bayar', '3', 'bulan', 'biaya', 'admin', 'udah', '300k', 'ajaaini', 'bener', 'harga', 'segitu', 'gilaa']"
triswanhars,"['antri', 'survey', 'terus', 'update', 'statusnya', 'ganti', 'alamt', 'tidak', 'ketemu', 'disuruh', 'hubungi', 'wa', 'bot', 'lagi', 'padahal', 'pas', 'pengajuan', 'sudah', 'di', 'pin', 'lokasinya', 'nomer', 'rumah', 'juga', 'ada', 'jelas', 'kok', 'bisa', 'gak', 'ketemu', 'gak', 'niat', 'banget', 'wtf', 'cek', 'dm', 'min']"
karinabeautysafira,"['barusan', 'ada', 'petugas', 'pdam', 'dtg', 'kerumah', 'saya', 'dg', 'tujuan', 'peremajaan', 'meteran', 'tetapi', 'petugas', 'tdk', 'memberikan', 'surat', 'tugasnya', 'dan', 'tdk', 'memakai', 'idcard', 'apakah', 'memang', 'benar', 'sedang', 'ada', 'peremajaan', 'meteran', 'air', 'untuk', 'wilayah', 'kel', 'nginden', 'jangkungan']"
ikha.y16,"['komplen', 'kenapa', 'beberapa', 'bulan', 'tagihan', 'air', 'naik', 'terus', 'ya']"
ikha.y16,"['kenapa', 'beberapa', 'bulan', 'tagihan', 'air', 'naik', 'terus', 'ya']"
im_happy1617,"['pdam', 'kota', 'bogor', 'tolong', 'di', 'bagusin', 'pak', 'biar', 'klo', 'pagi', 'dan', 'sore', 'ga', 'mati', 'air', 'jd', 'mau', 'ngapa', 'ngapain', 'gak', 'bisa']"
ekypradana,"['pelayanan', 'pemerintah', 'modern', 'tapi', 'dilapangan', 'seperti', 'jaman', 'majapahit', 'nagih', 'nomor', '1', 'pelayanan', 'stagnan']"
ekypradana,"['saya', 'telpon', '2', 'hari', 'sibuk', 'terus']"
arifwardani27,"['malam', 'pdam', 'surabayaini', 'saya', 'mau', 'mengajukan', 'pengaduanini', 'saya', 'mau', 'meninggikan', 'meteran', 'airterus', 'di', 'suruh', 'bayar', '328ksetelah', 'bayar', 'kok', 'gak', 'di', 'respons', 'ya', 'di', 'wasudah', '1', 'minggu', 'lebih', 'setelah', 'bayar', 'gak', 'ada', 'petugas', 'yang', 'datangterus', 'uang', 'yang', 'saya', 'bayar', 'kemarin', 'kemanaminta', 'tolong', 'untuk', 'di', 'tindak', 'lanjuti']"
beruangkentut01,"['kebraon', 'air', 'mati', 'ya']"
wennyisnaeni,"['malam', 'ini', 'di', 'wilayah', 'balas', 'klumprikpondok', 'maritim', 'pdam', 'mati', 'yakok', 'tdk', 'ada', 'pemberitahuan', 'to']"
arumdewi06,"['air', 'mati', 'area', 'dukuh', 'pakis', 'gak', 'ada', 'pemberitahuan', 'sih', 'min']"
susanti.efi84,"['halo', 'pdam', 'wilayah', 'babatan', 'kec', 'wiyung', 'airnya', 'mati', 'sampe', 'kapan', 'mengalir', 'lagi']"
hendy_dwihari,"['selamat', 'malam', 'daerah', 'putat', 'jaya', 'air', 'tidak', 'keluar', 'apa', 'ada', 'kendala']"
assyahh5,"['maaf', 'min', 'mau', 'nayakalu', 'ganti', 'meteran', 'apa', 'harus', 'bayar', 'ya']"
tiara_180319,"['pemasangan', 'baru', 'tidak', 'ada', 'kelanjutan', 'setelah', 'surveykatanya', 'bisa', 'komplain', 'cs', 'lewat', 'wasedangkan', 'di', 'wa', 'gak', 'ada', 'tanggapan…']"
